platform,发布时间,账号,认证,粉丝数,原创,情绪,转发,评论,点赞,分享,正文
微博,2026-06-18 08:15:00,财经观察员大V,媒体认证,5200000,是,负面,12500,8900,25600,3200,突发：新能源汽车电池安全事件引发关注，多个车主反映充电时冒烟 #新能源汽车# #电池安全#
抖音,2026-06-18 08:22:00,民生第一线,个人认证,1850000,是,负面,8900,12300,45000,8900,现场实拍新能源汽车电池冒烟，消防已到场处理
微信公众号,2026-06-18 09:05:00,深度财经,机构认证,890000,是,中性,3200,5600,12000,4500,新能源汽车电池安全问题深度分析：技术路径与监管责任
知乎,2026-06-18 09:15:00,电动车工程师老王,个人认证,450000,是,中性,1200,3400,8900,1200,作为业内人士，谈谈新能源汽车电池安全的几个关键问题
小红书,2026-06-18 10:00:00,城市生活家,未认证,128000,是,正面,560,890,3400,560,刚提的新能源汽车太香了，颜值和续航都满意
微博,2026-06-18 10:30:00,新闻快报,媒体认证,12500000,是,负面,45000,28000,68000,12000,官方通报：新能源汽车电池安全事件涉事企业已启动调查
B站,2026-06-18 11:00:00,科技评测中心,机构认证,2300000,是,中性,5600,7800,15600,3400,拆解对比：不同品牌新能源汽车电池安全设计差异
抖音,2026-06-18 11:45:00,街头采访实录,个人认证,3200000,是,负面,12000,18000,56000,12000,街头采访：你还敢买新能源汽车吗？
微博,2026-06-18 12:00:00,企业公关,机构认证,560000,是,正面,8900,12000,34000,5600,关于近期新能源汽车电池安全事件的官方声明：我们将全面配合调查，保障消费者权益
知乎,2026-06-18 13:00:00,法律从业者老张,个人认证,780000,是,中性,2300,4500,12000,2300,从法律角度看新能源汽车电池安全事件的责任认定与赔偿
微博,2026-06-18 14:00:00,广告投放号,未认证,23000,否,中性,12,34,89,12,新能源汽车大促销，点击链接领取优惠券广告推广
抖音,2026-06-18 15:00:00,汽车销售小李,未认证,45000,否,正面,230,450,1200,230,想买新能源汽车的朋友看过来，近期优惠力度大，私信我
微信公众号,2026-06-18 16:00:00,科技评论,媒体认证,1200000,是,负面,12000,18000,34000,8900,新能源汽车电池安全事件拷问行业：速度与安全如何平衡？
B站,2026-06-18 17:00:00,事故分析员,个人认证,890000,是,中性,4500,6700,12000,2300,从技术角度分析新能源汽车电池安全事件的可能原因
微博,2026-06-18 18:00:00,消费者协会,政府认证,3400000,是,中性,23000,15000,45000,8900,消费警示：购买新能源汽车请注意电池安全认证，遇问题及时维权
抖音,2026-06-18 19:00:00,情绪发泄号,未认证,34000,是,负面,1200,2300,5600,1200,新能源汽车就是垃圾，谁买谁后悔！
知乎,2026-06-18 20:00:00,电池材料专家,个人认证,1500000,是,中性,5600,8900,23000,5600,详解新能源汽车电池安全技术：从材料到管理系统
小红书,2026-06-18 21:00:00,都市丽人,未认证,89000,是,中性,340,560,1200,340,新能源汽车续航实测分享，冬天确实会打折扣
微博,2026-06-19 08:00:00,新闻调查,媒体认证,8900000,是,负面,89000,56000,120000,34000,独家调查：新能源汽车电池安全事件背后的供应链隐患
抖音,2026-06-19 09:00:00,官方发布,政府认证,5600000,是,中性,34000,28000,78000,12000,关于新能源汽车电池安全事件的最新通报：已成立联合调查组
微信公众号,2026-06-19 10:00:00,产业观察,机构认证,2300000,是,中性,15000,22000,45000,12000,新能源汽车电池安全事件对行业的影响分析与未来展望
